time_s,flux_Wb,emf_V,current_A,power_W,cumulative_energy_J
0.0233,0.1425316,75.714823,6.309569,477.727871,7.06721165
0.0234,0.13489103,77.083962,6.423663,495.161428,7.11603563
0.0235,0.12711734,78.377027,6.531419,511.913202,7.16656261
0.0236,0.1192182,79.592745,6.632729,527.917083,7.2187204
0.0237,0.11120141,80.729913,6.727493,543.109909,7.27243041
0.0238,0.10307487,81.787411,6.815618,557.431722,7.32760791
0.0239,0.09484662,82.764195,6.897016,570.826,7.38416237
0.024,0.08652476,83.659301,6.971608,583.239882,7.44199785
0.0241,0.07811751,84.471844,7.03932,594.624376,7.50101333
0.0242,0.06963317,85.201025,7.100085,604.934552,7.56110314
0.0243,0.06108011,85.846122,7.153844,614.129722,7.62215738
0.0244,0.05246677,86.406499,7.200542,622.173596,7.68406233
0.0245,0.04380165,86.881604,7.240134,629.034429,7.74670092
0.0246,0.03509331,87.270967,7.272581,634.685143,7.80995318
0.0247,0.02635033,87.574204,7.29785,639.103438,7.87369673
0.0248,0.01758135,87.791016,7.315918,642.271878,7.93780724
0.0249,0.00879501,87.921189,7.326766,644.177957,8.00215893
0.025,-0.0,87.964594,7.330383,644.814154,8.06662507
0.0251,-0.00879501,87.921189,7.326766,644.177957,8.13107849
0.0252,-0.01758135,87.791016,7.315918,642.271878,8.19539206
0.0253,-0.02635033,87.574204,7.29785,639.103438,8.25943919
0.0254,-0.03509331,87.270967,7.272581,634.685143,8.32309438
0.0255,-0.04380165,86.881604,7.240134,629.034429,8.38623363
0.0256,-0.05246677,86.406499,7.200542,622.173596,8.448735
0.0257,-0.06108011,85.846122,7.153844,614.129722,8.51047907
0.0258,-0.06963317,85.201025,7.100085,604.934552,8.5713494
0.0259,-0.07811751,84.471844,7.03932,594.624376,8.63123301
0.026,-0.08652476,83.659301,6.971608,583.239882,8.6900208
0.0261,-0.09484662,82.764195,6.897016,570.826,8.747608
0.0262,-0.10307487,81.787411,6.815618,557.431722,8.80389458
0.0263,-0.11120141,80.729913,6.727493,543.109909,8.85878564
0.0264,-0.1192182,79.592745,6.632729,527.917083,8.9121918
0.0265,-0.12711734,78.377027,6.531419,511.913202,8.96402951
0.0266,-0.13489103,77.083962,6.423663,495.161428,9.01422145
0.0267,-0.1425316,75.714823,6.309569,477.727871,9.06269676
0.0268,-0.1500315,74.270963,6.189247,459.681334,9.10939138
0.0269,-0.15738335,72.753807,6.062817,441.093038,9.15424826
0.027,-0.16457987,71.164852,5.930404,422.036343,9.19721761
0.0271,-0.17161398,69.505665,5.792139,402.586457,9.23825709
0.0272,-0.17847872,67.777885,5.648157,382.820139,9.27733198
0.0273,-0.18516732,65.983216,5.498601,362.815399,9.3144153
0.0274,-0.19167319,64.12343,5.343619,342.651185,9.34948795
0.0275,-0.1979899,62.200361,5.183363,322.407077,9.38253874
0.0276,-0.20411122,60.215908,5.017992,302.162969,9.41356448
0.0277,-0.2100311,58.17203,4.847669,281.998756,9.44256997
0.0278,-0.21574371,56.070743,4.672562,261.994015,9.46956796
0.0279,-0.2212434,53.91412,4.492843,242.227697,9.49457917
0.028,-0.22652476,51.704291,4.308691,222.777811,9.5176321
0.0281,-0.23158256,49.443436,4.120286,203.721116,9.53876303
0.0282,-0.23641182,47.133787,3.927816,185.13282,9.5580158
0.0283,-0.24100777,44.777622,3.731468,167.086283,9.57544167
0.0284,-0.24536587,42.377266,3.531439,149.652726,9.5910991
0.0285,-0.24948183,39.93509,3.327924,132.900952,9.60505355
0.0286,-0.25335157,37.453503,3.121125,116.897072,9.61737717
0.0287,-0.2569713,34.934953,2.911246,101.704246,9.62814857
0.0288,-0.26033742,32.381927,2.698494,87.382433,9.63745249
0.0289,-0.26344662,29.796944,2.483079,73.988155,9.64537944
0.029,-0.26629582,27.182555,2.265213,61.574273,9.65202538
0.0291,-0.26888223,24.541339,2.045112,50.189779,9.65749131
0.0292,-0.27120329,21.875905,1.822992,39.879602,9.66188292
0.0293,-0.27325669,19.188882,1.599073,30.684432,9.66531009
0.0294,-0.27504043,16.482921,1.373577,22.640558,9.66788656
0.0295,-0.27655274,13.760694,1.146725,15.779726,9.66972939
0.0296,-0.27779212,11.024887,0.918741,10.129011,9.67095854
0.0297,-0.27875735,8.2782,0.68985,5.710716,9.67169641
0.0298,-0.27944748,5.523343,0.460279,2.542276,9.67206732
0.0299,-0.27986184,2.763035,0.230253,0.636197,9.67219704
0.03,-0.28,-0.0,-0.0,0.0,9.67221231
0.0301,-0.27986184,-2.763035,-0.230253,0.636197,9.67224031
0.0302,-0.27944748,-5.523343,-0.460279,2.542276,9.67240816
0.0303,-0.27875735,-8.2782,-0.68985,5.710716,9.67284243
0.0304,-0.27779212,-11.024887,-0.918741,10.129011,9.67366867
0.0305,-0.27655274,-13.760694,-1.146725,15.779726,9.67501083
0.0306,-0.27504043,-16.482921,-1.373577,22.640558,9.67699088
0.0307,-0.27325669,-19.188882,-1.599073,30.684432,9.67972822
0.0308,-0.27120329,-21.875905,-1.822992,39.879602,9.6833393
0.0309,-0.26888223,-24.541339,-2.045112,50.189779,9.68793711
0.031,-0.26629582,-27.182555,-2.265213,61.574273,9.69363074
0.0311,-0.26344662,-29.796944,-2.483079,73.988155,9.70052495
0.0312,-0.26033742,-32.381927,-2.698494,87.382433,9.70871979
0.0313,-0.2569713,-34.934953,-2.911246,101.704246,9.71831014
0.0314,-0.25335157,-37.453503,-3.121125,116.897072,9.7293854
0.0315,-0.24948183,-39.93509,-3.327924,132.900952,9.7420291
0.0316,-0.24536587,-42.377266,-3.531439,149.652726,9.75631858
0.0317,-0.24100777,-44.777622,-3.731468,167.086283,9.77232468
0.0318,-0.23641182,-47.133787,-3.927816,185.13282,9.79011148
0.0319,-0.23158256,-49.443436,-4.120286,203.721116,9.80973602
0.032,-0.22652476,-51.704291,-4.308691,222.777811,9.83124808
0.0321,-0.2212434,-53.91412,-4.492843,242.227697,9.85469001
0.0322,-0.21574371,-56.070743,-4.672562,261.994015,9.88009654
0.0323,-0.2100311,-58.17203,-4.847669,281.998756,9.90749464
0.0324,-0.20411122,-60.215908,-5.017992,302.162969,9.93690341
0.0325,-0.1979899,-62.200361,-5.183363,322.407077,9.96833403
0.0326,-0.19167319,-64.12343,-5.343619,342.651185,10.0017897
0.0327,-0.18516732,-65.983216,-5.498601,362.815399,10.03726563
0.0328,-0.17847872,-67.777885,-5.648157,382.820139,10.07474905
0.0329,-0.17161398,-69.505665,-5.792139,402.586457,10.11421926
0.033,-0.16457987,-71.164852,-5.930404,422.036343,10.15564774
0.0331,-0.15738335,-72.753807,-6.062817,441.093038,10.19899823
0.0332,-0.1500315,-74.270963,-6.189247,459.681334,10.24422687
0.0333,-0.1425316,-75.714823,-6.309569,477.727871,10.29128242
0.0334,-0.13489103,-77.083962,-6.423663,495.161428,10.3401064
0.0335,-0.12711734,-78.377027,-6.531419,511.913202,10.39063338
0.0336,-0.1192182,-79.592745,-6.632729,527.917083,10.44279117
0.0337,-0.11120141,-80.729913,-6.727493,543.109909,10.49650118
